['INFO ]2023-07-27 14:30:06,283(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Batch details Updated ****************
['INFO ]2023-07-27 14:30:06,283(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Retriving Batch Details after Update *************
['INFO ]2023-07-27 14:30:06,521(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-io.restassured.internal.RestAssuredResponseImpl@3a44993c
['INFO ]2023-07-27 14:30:06,524(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Batch details Updated *************
['INFO ]2023-07-27 14:30:12,184(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-Assignment POST request with endpoint
['INFO ]2023-07-27 14:30:12,263(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Creating Assignment *************
['INFO ]2023-07-27 14:30:12,529(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Assignment is Created ****************
['INFO ]2023-07-27 14:30:12,529(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-{"assignmentId":5349,"assignmentName":"Jul21-APITrekkers-SDET-SQL-1221766330","assignmentDescription":"assign-desc","comments":"comments-team13","dueDate":"2023-07-28T14:30:12.257+00:00","pathAttachment1":"abc","pathAttachment2":"nmn","pathAttachment3":"jjjp","pathAttachment4":"nnnn","pathAttachment5":"nnn","batchId":9788,"createdBy":"U7877","graderId":"U12095"}
['INFO ]2023-07-27 14:30:12,555(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-Assignment GET request with endpoint
['INFO ]2023-07-27 14:30:12,557(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Retrieving All Assignments *************
['INFO ]2023-07-27 14:30:12,786(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-io.restassured.internal.RestAssuredResponseImpl@4281a26f
['INFO ]2023-07-27 14:30:13,029(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Assignment details are Displayed *************
['INFO ]2023-07-27 14:30:13,045(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-Assignment GET request with endpoint
['INFO ]2023-07-27 14:30:13,047(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Retrieving Assignment *************
['INFO ]2023-07-27 14:30:13,273(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-io.restassured.internal.RestAssuredResponseImpl@705eb026
['INFO ]2023-07-27 14:30:13,275(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Assignment details are Displayed *************
['INFO ]2023-07-27 14:30:13,292(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-Assignment GET request with endpoint
['INFO ]2023-07-27 14:30:13,293(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Retrieving Assignment *************
['INFO ]2023-07-27 14:30:13,547(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-io.restassured.internal.RestAssuredResponseImpl@445b4594
['INFO ]2023-07-27 14:30:13,549(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Assignment details are Displayed *************
['INFO ]2023-07-27 14:30:13,566(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-Assignment PUT request with endpoint
['INFO ]2023-07-27 14:30:13,617(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Updating assignment *************
['INFO ]2023-07-27 14:30:13,850(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Assignment details Updated ****************
['INFO ]2023-07-27 14:30:13,851(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Retrieving assignment Details after Update *************
['INFO ]2023-07-27 14:30:14,077(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-io.restassured.internal.RestAssuredResponseImpl@65b69ccb
['INFO ]2023-07-27 14:30:14,079(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Assignment details Updated *************
['INFO ]2023-07-27 14:30:14,100(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-------- post request with endpoint------------------
['INFO ]2023-07-27 14:30:14,158(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Submitting Assignment*************
['INFO ]2023-07-27 14:30:14,515(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** status is been verified ****************
['INFO ]2023-07-27 14:30:14,515(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-submission id from response is 2232
['INFO ]2023-07-27 14:30:14,516(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** successfully assignment submitted ****************
['INFO ]2023-07-27 14:30:14,518(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** status is been verified ****************
['INFO ]2023-07-27 14:30:14,532(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-------- get request with endpoint------------------
['INFO ]2023-07-27 14:30:14,533(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** Retriving All Assignments*************
